date,total_views,unique_views
2022-08-14,20,1
2022-08-15,1,1
2022-08-16,29,4
2022-08-17,19,3
2022-08-18,14,4
2022-08-19,11,2
2022-08-20,24,4
2022-08-21,15,5
2022-08-22,4,3
2022-08-23,21,3
2022-08-24,25,2
2022-08-25,93,6
2022-08-26,11,4
2022-08-27,28,6
2022-08-28,19,3
2022-08-29,70,8
2022-08-30,88,7
2022-08-31,67,12
2022-09-01,188,18
2022-09-02,107,17
2022-09-03,155,11
2022-09-04,138,17
2022-09-05,75,12
2022-09-06,16,3
2022-09-07,20,6
2022-09-08,20,6
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,16,2
2022-09-12,9,5
2022-09-13,27,4
2022-09-14,22,4
2022-09-15,1,1
2022-09-16,16,6
2022-09-17,41,5
2022-09-18,86,12
2022-09-19,24,4
2022-09-20,20,4
2022-09-21,76,10
2022-09-22,122,21
2022-09-23,87,16
2022-09-24,46,7
2022-09-25,238,33
2022-09-26,44,8
2022-09-27,4,1
2022-09-28,2,1
2022-09-29,1,1
2022-09-30,0,0
2022-10-01,0,0
2022-10-02,6,2
2022-10-03,4,2
2022-10-04,2,2
2022-10-05,9,3
2022-10-06,5,3
2022-10-07,2,1
2022-10-08,0,0
2022-10-09,1,1
2022-10-10,1,1
2022-10-11,2,1
2022-10-12,2,1
2022-10-13,43,4
2022-10-14,0,0
